type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,male,2020,33,229,776,938,1008,1262,1269,1589,1928,2441,2630,3302,3485,4175,5076,7308,8981,16099,21386,36344,39898,52863
road,male,2020,34,230,779,941,1011,1266,1273,1593,1933,2446,2635,3308,3491,4182,5085,7320,8996,16127,21422,36406,39966,52954
road,male,2020,35,231,783,946,1016,1271,1278,1599,1939,2453,2643,3317,3500,4193,5098,7339,9020,16169,21478,36501,40070,53092
road,male,2020,36,232,789,951,1021,1276,1284,1605,1946,2463,2653,3328,3512,4207,5116,7365,9051,16224,21552,36626,40208,53274
road,male,2020,37,234,794,958,1028,1283,1290,1613,1955,2474,2664,3343,3527,4225,5137,7395,9088,16292,21641,36778,40375,53495
road,male,2020,38,235,800,965,1035,1292,1299,1622,1966,2487,2678,3360,3545,4246,5163,7433,9134,16375,21752,36965,40580,53768
road,male,2020,39,237,806,972,1043,1301,1308,1632,1979,2502,2695,3380,3566,4272,5194,7477,9189,16472,21881,37185,40822,54087
road,male,2020,40,239,812,979,1051,1311,1318,1644,1993,2519,2713,3403,3590,4301,5229,7528,9251,16584,22030,37438,41099,54455
road,male,2020,41,241,818,986,1059,1321,1328,1657,2008,2539,2734,3429,3617,4333,5269,7585,9321,16710,22197,37722,41411,54869
road,male,2020,42,242,824,994,1067,1331,1339,1670,2024,2560,2756,3457,3647,4369,5312,7647,9398,16847,22378,38030,41750,55317
road,male,2020,43,244,830,1001,1075,1342,1349,1683,2041,2580,2779,3485,3677,4405,5355,7710,9475,16985,22563,38344,42094,55773
road,male,2020,44,246,837,1009,1084,1352,1360,1697,2057,2601,2802,3514,3708,4441,5400,7774,9554,17126,22750,38662,42443,56236
road,male,2020,45,248,843,1017,1092,1363,1370,1710,2074,2623,2825,3543,3739,4479,5445,7839,9634,17270,22941,38986,42799,56707
road,male,2020,46,250,849,1025,1101,1374,1382,1724,2091,2645,2848,3573,3770,4516,5491,7904,9714,17414,23132,39311,43156,57180
road,male,2020,47,252,856,1033,1109,1385,1393,1739,2108,2667,2872,3604,3802,4554,5537,7972,9797,17562,23329,39646,43523,57667
road,male,2020,48,254,863,1041,1118,1397,1404,1753,2126,2689,2897,3634,3835,4594,5585,8040,9881,17713,23529,39987,43897,58163
road,male,2020,49,256,870,1050,1127,1408,1416,1768,2144,2712,2922,3666,3868,4633,5633,8110,9967,17867,23733,40333,44278,58667
road,male,2020,50,258,877,1058,1136,1420,1427,1783,2162,2736,2946,3697,3902,4674,5683,8181,10054,18023,23941,40686,44665,59180
road,male,2020,51,260,884,1067,1146,1431,1439,1798,2181,2759,2972,3730,3936,4715,5732,8252,10141,18180,24149,41040,45054,59695
road,male,2020,52,262,891,1076,1155,1444,1451,1813,2199,2783,2998,3763,3971,4756,5783,8326,10232,18342,24364,41405,45455,60226
road,male,2020,53,264,898,1084,1165,1456,1464,1829,2219,2808,3025,3796,4006,4799,5835,8400,10323,18506,24583,41777,45863,60766
road,male,2020,54,266,905,1094,1175,1468,1476,1845,2238,2833,3052,3831,4043,4843,5888,8476,10417,18674,24805,42155,46278,61317
road,male,2020,55,268,913,1103,1185,1481,1489,1861,2258,2858,3079,3865,4079,4887,5942,8554,10512,18844,25032,42541,46701,61877
road,male,2020,56,270,920,1112,1195,1494,1502,1878,2278,2884,3107,3901,4117,4931,5996,8632,10608,19016,25260,42928,47126,62441
road,male,2020,57,273,928,1122,1205,1507,1515,1895,2299,2910,3136,3937,4155,4977,6052,8712,10707,19193,25495,43328,47565,63022
road,male,2020,58,275,936,1131,1215,1520,1529,1912,2320,2937,3165,3974,4194,5024,6108,8794,10807,19373,25735,43735,48012,63614
road,male,2020,59,277,944,1141,1226,1534,1542,1929,2341,2965,3194,4012,4234,5072,6166,8877,10910,19557,25979,44150,48468,64218
road,male,2020,60,279,952,1151,1237,1548,1556,1947,2363,2993,3224,4050,4274,5120,6225,8962,11014,19745,26228,44573,48932,64833
road,male,2020,61,282,961,1161,1248,1562,1571,1965,2385,3021,3255,4089,4315,5169,6285,9048,11119,19933,26478,44998,49399,65452
road,male,2020,62,284,969,1172,1259,1576,1585,1983,2408,3050,3287,4129,4357,5220,6346,9136,11228,20128,26737,45437,49881,66091
road,male,2020,63,287,978,1183,1271,1591,1600,2002,2431,3080,3319,4169,4400,5271,6409,9226,11339,20326,27000,45885,50373,66743
road,male,2020,64,289,986,1193,1282,1606,1615,2021,2454,3110,3351,4210,4444,5324,6473,9318,11452,20529,27269,46342,50875,67407
road,male,2020,65,292,995,1204,1294,1621,1630,2041,2478,3140,3384,4252,4489,5377,6538,9412,11567,20735,27544,46809,51386,68085
road,male,2020,66,294,1004,1215,1306,1637,1646,2061,2503,3171,3418,4295,4534,5431,6603,9506,11683,20943,27820,47278,51902,68768
road,male,2020,67,297,1014,1227,1319,1652,1662,2081,2528,3204,3453,4339,4580,5487,6671,9604,11803,21158,28105,47763,52434,69474
road,male,2020,68,300,1023,1238,1331,1668,1678,2102,2553,3236,3487,4384,4628,5544,6740,9704,11925,21377,28397,48258,52978,70194
road,male,2020,69,303,1034,1251,1345,1685,1694,2123,2579,3269,3523,4430,4676,5602,6811,9805,12050,21601,28694,48764,53533,70930
road,male,2020,70,307,1046,1265,1359,1702,1712,2145,2605,3303,3560,4476,4726,5661,6883,9909,12178,21830,28998,49280,54100,71681
road,male,2020,71,310,1059,1280,1375,1722,1731,2167,2634,3339,3599,4526,4778,5724,6960,10018,12311,22070,29316,49822,54694,72468
road,male,2020,72,314,1074,1297,1393,1743,1753,2193,2665,3380,3643,4581,4837,5794,7045,10140,12462,22340,29675,50431,55363,73354
road,male,2020,73,319,1089,1315,1413,1766,1776,2221,2699,3424,3691,4642,4901,5872,7139,10274,12627,22635,30068,51098,56095,74324
road,male,2020,74,324,1106,1335,1434,1792,1802,2252,2738,3473,3744,4709,4972,5958,7244,10424,12811,22965,30506,51842,56912,75407
road,male,2020,75,329,1125,1357,1457,1820,1830,2286,2780,3526,3802,4783,5051,6052,7358,10589,13013,23328,30988,52662,57812,76599
road,male,2020,76,335,1145,1381,1483,1851,1861,2324,2825,3586,3866,4865,5136,6156,7484,10769,13234,23724,31514,53556,58793,77899
road,male,2020,77,342,1167,1407,1511,1885,1895,2365,2876,3651,3936,4953,5231,6271,7624,10968,13479,24162,32096,54545,59880,79339
road,male,2020,78,349,1190,1435,1541,1922,1932,2410,2931,3721,4013,5051,5334,6396,7776,11184,13745,24640,32731,55624,61063,80907
road,male,2020,79,356,1216,1466,1574,1962,1973,2460,2992,3799,4097,5159,5448,6533,7943,11424,14040,25168,33432,56816,62373,82642
road,male,2020,80,364,1245,1500,1610,2006,2017,2514,3058,3885,4189,5276,5572,6685,8128,11688,14363,25749,34203,58127,63811,84548
road,male,2020,81,374,1276,1537,1649,2055,2066,2573,3131,3978,4291,5405,5708,6851,8329,11975,14717,26382,35045,59557,65381,86628
road,male,2020,82,384,1309,1577,1692,2108,2119,2638,3211,4081,4401,5547,5858,7033,8551,12294,15109,27084,35978,61142,67121,88934
road,male,2020,83,394,1346,1621,1740,2166,2178,2710,3300,4194,4524,5703,6024,7235,8796,12643,15538,27854,37000,62879,69028,91460
road,male,2020,84,406,1387,1670,1792,2230,2242,2789,3396,4318,4659,5875,6206,7458,9068,13032,16015,28709,38136,64810,71148,94269
road,male,2020,85,420,1432,1724,1849,2301,2313,2876,3503,4457,4809,6066,6408,7705,9368,13462,16544,29657,39395,66949,73497,97381
road,male,2020,86,434,1482,1783,1913,2379,2392,2972,3622,4609,4974,6277,6632,7979,9701,13937,17128,30705,40787,69314,76093,100821
road,male,2020,87,450,1536,1849,1983,2466,2479,3080,3754,4780,5159,6513,6882,8287,10076,14471,17784,31879,42347,71967,79005,104679
road,male,2020,88,468,1598,1923,2062,2563,2576,3199,3902,4970,5365,6776,7161,8630,10493,15065,18514,33189,44087,74923,82250,108978
road,male,2020,89,489,1666,2004,2150,2671,2685,3333,4067,5183,5596,7071,7475,9016,10962,15737,19340,34670,46054,78266,85921,113842
road,male,2020,90,511,1742,2097,2248,2793,2808,3484,4253,5424,5857,7406,7830,9456,11497,16499,20276,36347,48282,82052,90077,119349
road,male,2020,91,537,1829,2200,2360,2931,2947,3655,4464,5697,6153,7786,8231,9955,12103,17362,21337,38249,50809,86346,94791,125595
road,male,2020,92,566,1928,2319,2487,3088,3105,3849,4705,6009,6491,8220,8694,10528,12800,18358,22560,40443,53722,91298,100226,132797
road,male,2020,93,600,2041,2455,2633,3269,3287,4073,4982,6369,6881,8723,9226,11192,13607,19506,23971,42972,57082,97007,106494,141101
road,male,2020,94,639,2171,2613,2802,3478,3497,4331,5303,6786,7334,9306,9847,11972,14556,20854,25629,45943,61029,103714,113857,150857
road,male,2020,95,684,2324,2798,2999,3723,3743,4634,5679,7276,7869,9997,10581,12894,15677,22452,27592,49462,65703,111658,122578,162412
road,male,2020,96,738,2505,3016,3233,4013,4034,4994,6126,7861,8506,10820,11454,14003,17025,24362,29940,53672,71295,121162,133011,176235
road,male,2020,97,804,2721,3278,3516,4363,4386,5427,6666,8568,9276,11821,12522,15365,18681,26707,32821,58836,78156,132821,145810,193194
road,male,2020,98,883,2986,3600,3861,4790,4815,5955,7329,9442,10226,13061,13841,17062,20745,29623,36404,65260,86688,147321,161729,214286
road,male,2020,99,983,3316,3999,4290,5326,5354,6617,8162,10541,11428,14638,15526,19243,23396,33374,41015,73525,97668,165981,182213,241427
road,male,2020,100,1112,3739,4516,4843,6014,6045,7468,9236,11971,12995,16699,17733,22157,26939,38355,47136,84498,112244,190751,209406,277457
road,female,2020,5,350,1224,1502,1579,1970,1981,2470,2992,3788,4072,5111,5361,6427,7791,11141,13546,24598,32675,54986,60249,79778
road,female,2020,6,337,1177,1437,1552,1976,1987,2482,3021,3868,4189,5446,5779,6927,8173,11325,13769,25004,33213,55892,61242,81092
road,female,2020,7,325,1134,1380,1489,1889,1900,2378,2891,3698,4003,5187,5496,6588,7806,10844,13184,23942,31802,53518,58641,77649
road,female,2020,8,314,1097,1330,1433,1815,1825,2288,2779,3551,3841,4962,5253,6297,7486,10428,12678,23023,30582,51465,56391,74669
road,female,2020,9,305,1064,1287,1385,1750,1760,2209,2682,3423,3701,4768,5042,6044,7208,10065,12237,22222,29518,49675,54429,72072
road,female,2020,10,296,1035,1248,1342,1694,1704,2140,2596,3311,3578,4599,4858,5823,6963,9747,11850,21519,28585,48104,52708,69793
road,female,2020,11,289,1008,1215,1305,1645,1655,2080,2521,3213,3471,4451,4698,5632,6749,9470,11514,20909,27774,46739,51213,67813
road,female,2020,12,282,985,1185,1273,1603,1612,2027,2456,3128,3377,4321,4558,5463,6561,9227,11218,20372,27060,45538,49897,66070
road,female,2020,13,276,964,1159,1244,1566,1575,1980,2398,3052,3295,4208,4435,5316,6395,9014,10959,19901,26435,44487,48745,64545
road,female,2020,14,271,945,1136,1219,1534,1543,1940,2348,2986,3223,4108,4327,5187,6249,8829,10734,19493,25893,43574,47744,63220
road,female,2020,15,266,929,1116,1197,1506,1515,1905,2304,2929,3160,4021,4233,5074,6121,8668,10539,19138,25421,42780,46875,62069
road,female,2020,16,261,913,1097,1178,1481,1490,1873,2265,2877,3103,3941,4147,4971,6003,8521,10360,18814,24990,42055,46081,61017
road,female,2020,17,257,898,1079,1159,1457,1465,1842,2226,2826,3048,3865,4064,4871,5890,8379,10188,18500,24574,41354,45313,60000
road,female,2020,18,254,888,1066,1145,1437,1445,1816,2194,2784,3001,3799,3992,4785,5792,8255,10037,18227,24211,40743,44643,59113
road,female,2020,19,253,884,1062,1140,1426,1434,1797,2173,2755,2968,3750,3938,4721,5718,8162,9923,18019,23936,40280,44136,58442
road,female,2020,20,253,884,1062,1140,1422,1430,1787,2162,2739,2947,3715,3901,4676,5666,8096,9843,17874,23743,39956,43780,57971
road,female,2020,21,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3696,3878,4649,5635,8057,9796,17788,23629,39764,43570,57692
road,female,2020,22,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,23,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,24,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,25,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,26,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,27,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,28,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,29,253,884,1062,1140,1422,1430,1785,2161,2736,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,30,253,884,1062,1140,1423,1431,1787,2163,2737,2942,3691,3872,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,31,253,884,1063,1141,1425,1433,1789,2166,2741,2945,3694,3875,4642,5626,8044,9780,17760,23591,39700,43500,57600
road,female,2020,32,253,885,1064,1143,1427,1435,1793,2170,2745,2950,3700,3880,4647,5630,8045,9781,17762,23593,39704,43504,57606
road,female,2020,33,254,886,1066,1145,1430,1439,1797,2175,2751,2957,3707,3887,4655,5637,8050,9787,17772,23608,39728,43530,57640
road,female,2020,34,254,888,1068,1147,1434,1442,1803,2181,2759,2964,3716,3897,4665,5648,8059,9799,17794,23636,39776,43583,57710
road,female,2020,35,255,890,1071,1150,1439,1447,1809,2189,2767,2973,3727,3909,4678,5662,8075,9818,17830,23683,39855,43670,57826
road,female,2020,36,255,892,1074,1154,1444,1452,1816,2197,2777,2984,3740,3922,4694,5680,8097,9844,17876,23745,39960,43785,57977
road,female,2020,37,256,896,1079,1159,1450,1458,1824,2206,2789,2997,3755,3938,4712,5701,8124,9877,17936,23824,40093,43931,58170
road,female,2020,38,257,899,1083,1164,1456,1465,1832,2217,2802,3011,3773,3956,4733,5726,8157,9917,18009,23921,40256,44109,58406
road,female,2020,39,259,903,1088,1170,1464,1472,1842,2229,2817,3027,3792,3976,4757,5754,8196,9964,18095,24036,40448,44320,58686
road,female,2020,40,260,908,1094,1176,1472,1480,1853,2242,2833,3044,3814,3999,4784,5787,8240,10018,18193,24166,40668,44561,59004
road,female,2020,41,261,913,1101,1183,1481,1490,1864,2256,2851,3063,3838,4025,4814,5824,8291,10080,18306,24316,40919,44836,59369
road,female,2020,42,263,919,1108,1191,1491,1500,1877,2271,2871,3084,3865,4053,4848,5864,8349,10150,18433,24485,41204,45148,59782
road,female,2020,43,265,926,1116,1199,1502,1511,1891,2288,2892,3107,3894,4083,4885,5909,8412,10228,18574,24672,41519,45493,60238
road,female,2020,44,267,933,1124,1209,1514,1522,1906,2306,2915,3133,3926,4117,4925,5958,8483,10314,18730,24880,41869,45876,60747
road,female,2020,45,269,941,1134,1219,1526,1535,1922,2326,2941,3160,3960,4153,4969,6012,8562,10410,18904,25110,42257,46301,61309
road,female,2020,46,272,949,1144,1230,1540,1549,1939,2347,2968,3189,3998,4193,5017,6071,8649,10515,19095,25364,42684,46769,61929
road,female,2020,47,274,958,1155,1241,1555,1564,1957,2369,2997,3221,4038,4235,5069,6135,8743,10630,19304,25642,43152,47283,62609
road,female,2020,48,277,968,1167,1254,1570,1579,1977,2394,3029,3255,4082,4281,5125,6204,8846,10756,19532,25944,43660,47839,63345
road,female,2020,49,280,979,1179,1268,1587,1597,1999,2420,3063,3292,4128,4330,5185,6278,8956,10888,19773,26265,44200,48430,64128
road,female,2020,50,283,989,1192,1282,1605,1614,2021,2448,3098,3330,4177,4381,5247,6354,9067,11023,20018,26590,44748,49031,64923
road,female,2020,51,286,1000,1206,1296,1623,1632,2044,2476,3134,3369,4227,4434,5311,6432,9182,11163,20272,26927,45314,49652,65746
road,female,2020,52,289,1011,1219,1310,1642,1651,2068,2505,3171,3409,4277,4487,5375,6513,9298,11305,20529,27270,45891,50283,66582
road,female,2020,53,293,1023,1233,1325,1661,1670,2092,2534,3209,3449,4329,4542,5442,6594,9419,11452,20796,27624,46487,50937,67447
road,female,2020,54,296,1034,1247,1341,1680,1690,2116,2564,3248,3492,4383,4598,5511,6678,9543,11603,21070,27988,47099,51608,68336
road,female,2020,55,299,1046,1262,1356,1700,1710,2142,2596,3288,3535,4437,4655,5580,6765,9669,11756,21349,28358,47722,52290,69239
road,female,2020,56,303,1058,1276,1372,1720,1730,2168,2627,3328,3578,4493,4714,5652,6853,9800,11915,21637,28741,48367,52997,70175
road,female,2020,57,306,1071,1291,1389,1741,1751,2194,2660,3370,3624,4551,4775,5726,6944,9933,12077,21931,29132,49024,53717,71129
road,female,2020,58,310,1083,1307,1405,1762,1772,2221,2693,3413,3670,4610,4837,5801,7037,10071,12245,22236,29537,49706,54464,72117
road,female,2020,59,314,1096,1323,1423,1784,1794,2249,2727,3457,3717,4670,4901,5879,7133,10213,12417,22550,29953,50406,55231,73134
road,female,2020,60,318,1110,1339,1440,1806,1817,2278,2762,3502,3766,4733,4966,5959,7231,10358,12593,22869,30377,51120,56013,74169
road,female,2020,61,322,1123,1356,1458,1829,1840,2307,2798,3548,3816,4796,5033,6041,7333,10508,12776,23201,30818,51862,56826,75245
road,female,2020,62,326,1137,1373,1477,1853,1863,2337,2835,3596,3867,4862,5102,6125,7437,10661,12962,23539,31267,52618,57654,76342
road,female,2020,63,330,1152,1391,1496,1877,1888,2368,2873,3645,3921,4929,5173,6212,7543,10821,13156,23890,31734,53403,58515,77482
road,female,2020,64,334,1167,1409,1515,1902,1913,2399,2912,3695,3975,4998,5246,6301,7654,10985,13355,24252,32215,54213,59402,78656
road,female,2020,65,338,1182,1427,1535,1927,1938,2432,2952,3747,4030,5069,5321,6392,7767,11152,13559,24622,32706,55040,60308,79856
road,female,2020,66,343,1197,1446,1556,1953,1964,2465,2993,3800,4088,5143,5398,6487,7884,11326,13771,25007,33217,55900,61250,81104
road,female,2020,67,347,1213,1466,1577,1980,1991,2500,3035,3854,4147,5218,5478,6584,8005,11505,13987,25400,33740,56779,62214,82380
road,female,2020,68,352,1230,1486,1598,2007,2019,2535,3079,3910,4207,5296,5559,6684,8129,11690,14213,25810,34284,57695,63218,83709
road,female,2020,69,357,1246,1506,1620,2036,2048,2571,3124,3968,4270,5376,5644,6788,8257,11882,14446,26233,34846,58641,64254,85081
road,female,2020,70,362,1264,1527,1643,2065,2077,2609,3170,4027,4334,5458,5731,6893,8389,12078,14685,26667,35422,59610,65315,86486
road,female,2020,71,367,1282,1549,1667,2095,2107,2647,3217,4089,4401,5543,5820,7004,8525,12283,14934,27119,36022,60620,66422,87952
road,female,2020,72,372,1300,1572,1691,2126,2138,2687,3266,4152,4469,5631,5913,7118,8667,12493,15189,27582,36638,61656,67557,89455
road,female,2020,73,377,1319,1595,1716,2158,2170,2728,3316,4217,4540,5721,6008,7234,8812,12712,15455,28066,37280,62737,68742,91024
road,female,2020,74,383,1338,1618,1742,2190,2203,2770,3369,4285,4612,5815,6107,7356,8963,12939,15731,28567,37946,63857,69969,92649
road,female,2020,75,389,1358,1643,1768,2224,2237,2814,3422,4354,4688,5912,6209,7480,9120,13180,16025,29100,38655,65050,71276,94380
road,female,2020,76,395,1379,1668,1796,2259,2272,2860,3479,4427,4767,6011,6314,7612,9288,13452,16355,29699,39450,66388,72742,96321
road,female,2020,77,401,1400,1694,1824,2296,2310,2912,3542,4507,4852,6119,6428,7757,9474,13750,16718,30359,40326,67863,74359,98462
road,female,2020,78,407,1422,1721,1853,2338,2352,2969,3612,4596,4949,6240,6554,7919,9683,14085,17125,31098,41308,69515,76169,100858
road,female,2020,79,413,1444,1751,1887,2384,2399,3033,3689,4695,5055,6375,6696,8099,9915,14457,17577,31919,42399,71352,78181,103523
road,female,2020,80,421,1470,1785,1924,2436,2450,3104,3776,4805,5173,6525,6854,8299,10174,14869,18078,32828,43606,73383,80407,106470
road,female,2020,81,429,1499,1823,1967,2493,2508,3182,3871,4927,5305,6692,7029,8522,10461,15331,18639,33848,44961,75662,82905,109777
road,female,2020,82,438,1532,1865,2013,2557,2572,3269,3977,5063,5452,6878,7223,8770,10780,15844,19263,34981,46466,78196,85681,113453
road,female,2020,83,449,1568,1913,2066,2628,2644,3365,4095,5213,5614,7084,7441,9047,11139,16423,19967,36260,48165,81053,88812,117599
road,female,2020,84,461,1609,1966,2125,2708,2725,3472,4227,5383,5797,7316,7685,9357,11541,17075,20760,37699,50076,84271,92337,122267
road,female,2020,85,474,1655,2026,2191,2797,2814,3593,4373,5571,6000,7574,7957,9705,11994,17808,21652,39318,52227,87890,96303,127518
road,female,2020,86,489,1708,2093,2265,2897,2915,3727,4539,5783,6229,7866,8264,10098,12506,18646,22670,41168,54685,92026,100834,133519
road,female,2020,87,506,1767,2169,2349,3009,3028,3879,4724,6023,6487,8195,8610,10543,13084,19600,23830,43275,57483,96735,105994,140351
road,female,2020,88,525,1833,2255,2443,3136,3157,4050,4935,6295,6780,8569,9004,11050,13750,20705,25174,45714,60723,102188,111969,148263
road,female,2020,89,546,1908,2353,2550,3281,3303,4244,5175,6603,7115,8996,9455,11632,14516,21990,26736,48551,64492,108529,118917,157463
road,female,2020,90,571,1995,2464,2674,3446,3469,4468,5449,6958,7500,9488,9972,12304,15407,23493,28563,51869,68899,115946,127044,168224
road,female,2020,91,599,2094,2592,2815,3637,3661,4724,5768,7368,7944,10057,10574,13089,16447,25288,30745,55831,74162,124804,136749,181075
road,female,2020,92,632,2209,2741,2978,3859,3884,5024,6136,7848,8463,10724,11276,14010,17689,27445,33367,60594,80488,135449,148414,196520
road,female,2020,93,671,2343,2914,3170,4118,4146,5375,6573,8415,9077,11513,12112,15114,19185,30105,36602,66467,88290,148578,162799,215569
road,female,2020,94,716,2501,3119,3397,4427,4458,5795,7094,9095,9813,12462,13113,16454,21012,33447,40665,73846,98091,165073,180873,239501
road,female,2020,95,769,2689,3365,3669,4799,4833,6303,7725,9920,10710,13626,14337,18111,23311,37748,45894,83341,110704,186298,204130,270296
road,female,2020,96,835,2917,3665,4001,5255,5292,6927,8504,10944,11826,15074,15871,20209,26273,43528,52922,96104,127657,214827,235390,311688
road,female,2020,97,915,3198,4036,4413,5825,5868,7715,9490,12248,13243,16927,17830,22948,30209,51630,62773,113992,151418,254814,279204,369705
road,female,2020,98,1016,3552,4508,4941,6562,6608,8736,10778,13961,15108,19380,20438,26667,35737,63892,77681,141064,187379,315330,345512,457506
road,female,2020,99,1148,4011,5125,5635,7544,7598,10113,12529,16299,17668,22778,24043,31978,44014,84496,102731,186555,247805,417017,456933,605042
road,female,2020,100,1325,4631,5973,6586,8910,8982,12072,15031,19690,21397,27765,29370,40243,57692,126082,153292,278370,369765,622257,681818,902821
